"","x"
"1278",16.853452
"1279",7.698088
"1280",13.265928
"1281",17.6917605
"1282",22.133868
"1283",24.720203
"1284",33.6500505
"1285",12.140926
"1286",38.562832
"1287",34.777825
"1288",32.703843
"1289",33.8772545
"1290",31.76007
"1291",31.896135
"1292",31.6133185
"1293",32.3971545
"1294",31.507273
"1295",33.2279795
"1296",0
"1297",30.557918
"1298",33.871635
"1299",36.1824485
"1300",38.2192795
"1301",37.1530035
"1302",0
"1303",18.681241
"1304",20.039109
"1305",20.6249155
"1306",17.0885085
"1307",12.5905885
"1308",6.035215
"1309",2.375653
"1310",6.013433
"1311",0
"1312",0
"1313",0
"1314",0
"1315",0
"1316",0
"1317",0
"1318",0
"1319",0
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",0
"1326",0
"1327",0
"1328",0
"1329",0
"1330",0
"1331",0
"1332",0
"1333",0
"1334",0
"1335",0
"1336",0
"1337",0
"1338",0
"1339",0
"1340",0
"1341",0
"1342",0
"1343",0
"1344",0
"1345",0
"1346",0
"1347",0
"1348",0
"1349",0
"1350",0
"1351",0
"1352",14.673767
"1353",5.918714
"1354",6.860326
"1355",11.0103235
"1356",15.6849325
"1357",20.5300685
"1358",22.3502245
"1359",30.452576
"1360",34.4747315
"1361",34.836725
"1362",33.218463
"1363",33.885656
"1364",33.6953305
"1365",33.657561
"1366",35.3752935
"1367",40.8633915
"1368",42.76603
"1369",42.873294
"1370",44.84113
"1371",48.196415
"1372",48.663317
"1373",48.850689
"1374",48.608445
"1375",48.7024025
"1376",48.027604
"1377",47.342162
"1378",47.216468
"1379",47.1539795
"1380",47.103938
"1381",47.0377765
"1382",46.3314805
"1383",43.7735045
"1384",42.927706
"1385",42.8371195
"1386",43.787533
"1387",42.9783445
"1388",42.159333
"1389",41.795057
"1390",41.9080255
"1391",41.711073
"1392",41.854454
"1393",41.8635475
"1394",42.0384545
"1395",42.039294
"1396",42.2050585
"1397",42.1399155
"1398",42.075823
"1399",42.3566945
"1400",42.0746955
"1401",41.562276
"1402",40.4996355
"1403",40.353615
"1404",40.524827
"1405",40.767948
"1406",40.720984
"1407",40.660551
"1408",41.2456295
"1409",41.8919605
"1410",41.4288925
"1411",41.724164
"1412",42.27471
"1413",42.193718
"1414",42.144371
"1415",40.708228
"1416",37.6778725
"1417",36.467898
"1418",36.879802
"1419",36.918222
"1420",35.3627115
"1421",31.8975985
"1422",32.2744735
"1423",31.932894
"1424",28.9015935
"1425",0
"1426",0
"1427",0
"1428",0
"1429",1.511573
"1430",3.7285325
"1431",3.207159
"1432",6.6057785
"1433",3.974341
"1434",50.2715765
"1435",40.6744685
"1436",36.0238405
"1437",41.72903
"1438",46.5809345
"1439",42.7390025
"1440",38.15217
"1441",3.8070125
"1442",2.05853
"1443",7.750309
"1444",0
"1445",0
"1446",0
"1447",0
"1448",0
"1449",0
"1450",0
"1451",0
"1452",0
"1453",0
"1454",0
"1455",0
"1456",0.727784
"1457",0.1956255
"1458",0.159614
"1459",1.3678455
"1460",0
"1461",6.695791
"1462",5.8074095
"1463",2.3799875
"1464",2.9376855
"1465",3.883537
"1466",5.90484
"1467",5.90484
"1468",0
"1469",0
"1470",10.5837675
"1471",8.7094385
"1472",5.251149
"1473",7.6815255
"1474",4.219243
"1475",6.777848
"1476",0.777677
"1477",1.9083475
"1478",10.300537
"1479",17.8061125
"1480",29.5090575
"1481",38.8831925
"1482",0
"1483",12.7180915
"1484",11.816804
"1485",9.9844065
"1486",9.3358835
"1487",8.9029445
"1488",0
"1489",26.572832
"1490",23.5609025
"1491",23.894952
"1492",18.9178695
"1493",18.4065985
"1494",0.387901
"1495",4.657126
"1496",5.1123565
"1497",9.858781
"1498",16.9132325
"1499",22.4697925
"1500",24.315833
"1501",28.542109
"1502",41.200802
"1503",47.860804
"1504",58.2837095
"1505",56.882689
"1506",24.30819
"1507",14.504953
"1508",9.444477
"1509",8.4039745
"1510",6.915066
"1511",8.095171
"1512",37.407603
"1513",38.6837765
"1514",35.0059605
"1515",31.546147
"1516",26.4874785
"1517",0
"1518",48.553525
"1519",39.3098315
"1520",37.4183565
"1521",35.6762375
"1522",0
"1523",0
"1524",0
"1525",0
"1526",0
"1527",0
"1528",0
"1529",0
"1530",0
"1531",0
"1532",0
"1533",0
"1534",0
"1535",0
"1536",0
"1537",0
"1538",0
"1539",0
"1540",0
"1541",0
"1542",0
"1543",0
"1544",0
"1545",0
"1546",0
"1547",0
"1548",0
"1549",0
"1550",0
"1551",0
"1552",0
"1553",46.436352
"1554",51.3709225
"1555",49.322391
"1556",72.729559
"1557",68.772194
"1558",77.279286
"1559",77.112211
"1560",79.3927575
"1561",81.778545
"1562",18.5223615
"1563",20.6402685
"1564",24.8779315
"1565",22.8830265
"1566",22.75353
"1567",27.882132
"1568",32.1218715
"1569",34.684991
"1570",39.3255045
"1571",43.299644
"1572",48.2931675
"1573",56.8534575
"1574",61.010348
"1575",65.9400045
"1576",75.86037
"1577",79.98324
